Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
180,00:56:56,Killinkere,Shot from play,2,Short,Alex Sweeney,0.7551829,0.5484049,-1,#ed1c24,1,0
181,00:57:00,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
182,00:57:05,Killinkere,Turnover,2,In Contact,James Farrelly,,,3,,1,0
183,00:57:12,Killinkere,Shot from play,2,Wide,Neill McCabe,0.7496951,0.4292446,0,#ed1c24,1,0
184,00:57:15,Killinkere,Attacks,2,Shot taken,Neill McCabe,,,0,,1,0
185,00:57:32,Drumgoon,Kickout,2,Short lost,,0.7565549,0.2007906,1,#ed1c24,0,0
186,00:57:42,Killinkere,Shot from play,2,Point,Jason McMahon,0.8827744,0.3525873,1,#ffffff,1,1
187,00:57:46,Killinkere,Attacks,2,Shot taken,Jason McMahon,,,0,,1,0
188,00:58:10,Drumgoon,Substitution,2,Player 20,Player 12,,,0,,YES,0
189,00:58:12,Drumgoon,Kickout,2,Break lost,Darren Smith,0.5571646,0.8034233,1,,0,0
190,00:58:45,Killinkere,Shot from play,2,Point,Alex Sweeney,0.8118902,0.6857809,1,#ffffff,1,1
191,00:58:47,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
192,00:59:08,Drumgoon,Kickout,2,Lost clean,Kevin McCabe,0.6303354,0.2675811,1,#ed1c24,0,0
193,00:59:19,Drumgoon,Free conceded,2,Defensive third,Player 3,,,-1,,1,0
194,00:59:40,Killinkere,Scoreable free,2,2 Points,Neill McCabe,0.7080793,0.3434795,2,#f7941d,1,2
195,00:59:44,Killinkere,Attacks,2,Shot taken,Neill McCabe,,,0,,1,0
196,01:00:02,Drumgoon,Kickout,2,Lost clean,James Farrelly,0.5228658,0.8322647,1,#ed1c24,0,0
197,01:01:12,Killinkere,Possession lost,2,Handling,Kevin McCabe,,,-1,,1,0
198,01:01:16,Killinkere,Free conceded,2,Middle third,Kevin McCabe,,,0,,1,0
199,01:01:31,Drumgoon,Shot from play,2,Point,Player 15,0.2155488,0.3996442,1,#ffffff,1,1
200,01:01:37,Drumgoon,Attacks,2,Shot taken,Player 15,,,0,,1,0
201,01:02:58,Killinkere,Kickout,2,Sideline ball,,0.6157012,0.9430763,0,,0,0
202,01:03:12,Killinkere,Turnover,2,In Contact,Neill McCabe,,,3,,1,0
203,01:03:16,Drumgoon,Free conceded,2,Middle third,Player 14,,,0,,1,0
204,01:04:18,Drumgoon,Free conceded,2,Defensive third,Player 14,,,-1,,1,0
205,01:04:40,Killinkere,Substitution,2,Ryan Smith,Neill McCabe,,,0,,YES,0
206,01:05:05,Killinkere,Scoreable free,2,Short,David Macken,0.7391768,0.6781911,-1,#ed1c24,1,0
207,01:05:12,Killinkere,Attacks,2,Mark taken,David Macken,,,1,,1,0
208,01:05:43,Drumgoon,Attacks,2,Shot taken,Player 15,,,0,,1,0
209,01:06:04,Drumgoon,Shot from play,2,Short,Player 15,0.08429878,0.2470886,-1,#ed1c24,1,0
